content,category,product,language
"Q: What is Sampul Hibah Hartanah?
A: Sampul Hibah Hartanah helps you gift your house or land to someone you choose. You can keep using it during your lifetime, and it transfers directly to your beneficiary without a court process.",faq,hibah,en
"Q: What does “Hibah” mean in Islam?
A: Hibah means a gift given during your lifetime. In simple terms, it is a voluntary transfer of ownership from one person to another.",faq,hibah,en
"Q: What is Sampul Wasiat?
A: Sampul Wasiat is a digital will creation service. It helps you write down your wishes clearly and keep them updated, all from your phone.",faq,wasiat,en
